,기초잔액, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,기말잔액
현금잔액,139543358.2,186366257.6,103325847.3,136642694.5,141256405.3,148657512.7,129295079.2,128896142.1,123868637.1,135661748,133783908.6,115156365.6,128715416.8,128715416.8
차입금잔액,909685078,922085078,975685078,975685078,625685078,545685078,300000000.5,400000000.5,300000000.5,400000000.5,400000000.5,410000000.5,180000000.5,180000000.5
